Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
12298805,A Small Book About Drugs,Lisa Pryor,"Pryor, Lisa",,"=""""","=""9781742372341""",0,3.73,Allen & Unwin,Paperback,168,2011,2011,,2018/02/26,"unclassified-exclusive, non-fiction","unclassified-exclusive (#108), non-fiction (#60)",unclassified-exclusive,,,,0,0
18406301,The 80/20 Principle and 92 Other Powerful Laws of Nature: The Science of Success,Richard Koch,"Koch, Richard",,"=""1857886119""","=""9781857886115""",0,3.74,Nicholas Brealey,Paperback,228,2014,2013,,2018/02/26,"unclassified-exclusive, non-fiction","unclassified-exclusive (#107), non-fiction (#59)",unclassified-exclusive,,,,0,0
13517436,Lone Wolf,Jodi Picoult,"Picoult, Jodi",,"=""1742379060""","=""9781742379067""",0,3.72,Allen & Unwin,Trade Paperback,416,2012,2012,,2018/02/26,"unclassified-exclusive, non-fiction, fiction","unclassified-exclusive (#106), non-fiction (#58), fiction (#132)",unclassified-exclusive,,,,0,0
4013650,Digital Art (World of Art),Christiane Paul,"Paul, Christiane",,"=""0500203989""","=""9780500203989""",0,3.59,Thames  Hudson,Paperback,256,2008,2003,,2018/02/26,"non-fiction, unclassified-exclusive","non-fiction (#57), unclassified-exclusive (#105)",unclassified-exclusive,,,,0,0
7947129,Coming of Age in Second Life: An Anthropologist Explores the Virtually Human: An Anthopologist Explores the Virtually Human,Tom Boellstorff,"Boellstorff, Tom",,"=""0691146276""","=""9780691146270""",0,3.61,Princeton University Press,Paperback,336,2010,2008,,2018/02/26,"unclassified-exclusive, non-fiction","unclassified-exclusive (#104), non-fiction (#56)",unclassified-exclusive,,,,0,0
19346451,"The Revenge of Seven (Lorien Legacies, #5)",Pittacus Lore,"Lore, Pittacus",,"=""0062194720""","=""9780062194725""",0,4.26,HarperCollins,Hardcover,371,2014,2014,,2018/02/26,"unclassified-exclusive, fiction","unclassified-exclusive (#103), fiction (#131)",unclassified-exclusive,,,,0,0
2531714,The Concise Oxford Dictionary of Archaeology,Timothy Darvill,"Darvill, Timothy",,"=""0199534047""","=""9780199534043""",0,4.24,"Oxford University Press, USA",Paperback,560,2010,2002,,2018/02/26,"unclassified-exclusive, non-fiction","unclassified-exclusive (#102), non-fiction (#55)",unclassified-exclusive,,,,0,0
13142037,How to Remember Anything,Mark Channon,"Channon, Mark",,"=""1444145746""","=""9781444145748""",0,3.91,Teach Yourself,Paperback,256,2013,2011,,2018/02/26,"unclassified-exclusive, non-fiction","unclassified-exclusive (#101), non-fiction (#54)",unclassified-exclusive,,,,0,0
3276603,Buddhism In A Nutshell,"Nārada, Maha Thera","Thera, Nārada, Maha",,"=""9839382012""","=""9789839382013""",0,3.72,Sukhi Hotu,,74,1996,1933,,2018/02/26,"non-fiction, unclassified-exclusive","non-fiction (#53), unclassified-exclusive (#100)",unclassified-exclusive,,,,0,0
32283133,"Origin (Robert Langdon, #5)",Dan Brown,"Brown, Dan",,"=""0385514239""","=""9780385514231""",0,3.88,Doubleday,Hardcover,461,2017,2017,,2018/02/26,fiction,fiction (#130),read,,,,1,0
13337211,Programming And Planning In Early Childhood Settings,Leonie Arthur,"Arthur, Leonie",,"=""0170111660""","=""9780170111669""",0,4.17,,,,,,,2018/02/26,"non-fiction, unclassified-exclusive","non-fiction (#51), unclassified-exclusive (#99)",unclassified-exclusive,,,,0,0
22819539,First Aid: Responding to Emergencies,Australian Red Cross,"Cross, Australian Red",,"=""1875897011""","=""""",0,4.50,Mosby Lifeline,Paperback,378,1995,1995,,2018/02/26,"unclassified-exclusive, non-fiction","unclassified-exclusive (#98), non-fiction (#50)",unclassified-exclusive,,,,0,0
33186,Hamlet,William Shakespeare,"Shakespeare, William","Philip Edwards, Robert Hapgood","=""0521532523""","=""9780521532525""",0,4.03,Cambridge University Press/The New Cambridge Shakespeare,Paperback,270,2003,1601,,2018/02/26,"unclassified-exclusive, fiction","unclassified-exclusive (#97), fiction (#129)",unclassified-exclusive,,,,0,0
29388608,Yassmin's Story,Yassmin Abdel-Magied,"Abdel-Magied, Yassmin",,"=""0857986155""","=""9780857986153""",0,3.92,Penguin Random House,Paperback,326,2016,,,2018/02/26,"non-fiction, unclassified-exclusive","non-fiction (#49), unclassified-exclusive (#96)",unclassified-exclusive,,,,0,0
25710306,The Good Girl,Mary Kubica,"Kubica, Mary",,"=""1743693508""","=""9781743693506""",0,3.82,MIRA,Paperback,384,2015,2014,,2018/02/26,"unclassified-exclusive, fiction","unclassified-exclusive (#95), fiction (#128)",unclassified-exclusive,,,,0,0
3506264,More Positive Thinking,Vera Peiffer,"Peiffer, Vera",,"=""1862044910""","=""9781862044913""",0,3.20,HarperCollins Publishers,Paperback,160,1999,1995,,2018/02/26,"unclassified-exclusive, non-fiction","unclassified-exclusive (#94), non-fiction (#48)",unclassified-exclusive,,,,0,0
137703,Learning and Behavior: A Contemporary Synthesis,Mark E. Bouton,"Bouton, Mark E.",,"=""0878930639""","=""9780878930630""",0,3.61,W.H. Freeman & Company,Hardcover,482,2007,2006,,2018/02/26,"non-fiction, unclassified-exclusive","non-fiction (#47), unclassified-exclusive (#93)",unclassified-exclusive,,,,0,0
8848746,Staying Alive,Alison Verhoeven,"Verhoeven, Alison",Peter Bowler,"=""0949569208""","=""9780949569202""",0,0.0,,,117,,,,2018/02/26,"non-fiction, unclassified-exclusive","non-fiction (#46), unclassified-exclusive (#92)",unclassified-exclusive,,,,0,0
544948,Living Well with Depression and Bipolar Disorder: What Your Doctor Doesn't Tell You...That You Need to Know,John McManamy,"McManamy, John",,"=""0060897422""","=""9780060897420""",4,3.66,William Morrow Paperbacks,Paperback,416,2006,2006,,2018/02/26,non-fiction,non-fiction (#45),read,,,,1,0
